source_path,source_line,diagnostic_type,diagnostic_reference_va,factory_candidate_va,wrapper_va,allocation_call_va,allocation_routine_va,allocation_bytes,allocation_hex,initialization_function_candidate,confidence
core/func.cpp,317,funcChainInf,0x004127b9,0x004127b0,0x00411910,0x0041191b,0x0054275d,44,0x2c,0x00411a70,Exact immediate and call chain observed; semantic type/layout not proven
game/enemy.cpp,69,EnemyInf,0x004a8929,0x004a8920,0x004a2910,0x004a291e,0x0054275d,1064,0x428,0x004a33c0,Exact immediate and call chain observed; semantic type/layout not proven
game/enemy.cpp,420,EnemyCtrlInf,0x004aba74,0x004aba70,0x004a28c0,0x004a28ce,0x0054275d,308,0x134,0x004a2e80,Exact immediate and call chain observed; semantic type/layout not proven
game/fps.cpp,61,FPSInf,0x004ac1a4,0x004ac1a0,0x004abad0,0x004abade,0x0054275d,264,0x108,0x004abb80,Exact immediate and call chain observed; semantic type/layout not proven
game/front.cpp,402,FrontInf,0x004b9094,0x004b9090,0x004ae8a0,0x004ae8cd,0x0054275d,728,0x2d8,0x004aef90,Exact immediate and call chain observed; semantic type/layout not proven
game/front.cpp,1199,MsgInf,0x004b9975,0x004b9740,0x004ae930,0x004ae95d,0x0054275d,320,0x140,0x0040b280,Exact immediate and call chain observed; semantic type/layout not proven
game/game.cpp,594,GameInf,0x004bec76,0x004bec70,0x004b9b10,0x004b9b1e,0x0054275d,272,0x110,0x004b9df0,Exact immediate and call chain observed; semantic type/layout not proven
game/help.cpp,86,HelpInf,0x004bfc74,0x004bfc70,0x004bedf0,0x004bedfe,0x0054275d,320,0x140,0x004bee70,Exact immediate and call chain observed; semantic type/layout not proven
game/hit.cpp,605,HitInf,0x004c0ecf,0x004c0e60,0x004bfe30,0x004bfe3e,0x0054275d,196,0xc4,0x004bffb0,Exact immediate and call chain observed; semantic type/layout not proven
game/hit.cpp,73,HitCtrlInf,0x004c20d4,0x004c20d0,0x004bfde0,0x004bfdee,0x0054275d,50272,0xc460,0x004bfee0,Exact immediate and call chain observed; semantic type/layout not proven
game/item.cpp,113,ItemInf,0x004c5014,0x004c5010,0x004c2130,0x004c213e,0x0054275d,4835484,0x49c89c,0x004c22e0,Exact immediate and call chain observed; semantic type/layout not proven
game/keyconfig.cpp,74,KeyConfigTaskInf,0x004c7cb4,0x004c7cb0,0x004c5410,0x004c541e,0x0054275d,276,0x114,0x004c5530,Exact immediate and call chain observed; semantic type/layout not proven
game/laser.h,315,LaserLineInf,0x004cfb49,0x004cfb40,0x004c8190,0x004c819e,0x0054275d,6392,0x18f8,0x00544760,Exact immediate and call chain observed; semantic type/layout not proven
game/laser.cpp,2638,CurveEquationInf,0x004d3870,0x004d3230,0x004c7f90,0x004c7f9b,0x0054275d,60,0x3c,,Exact immediate and call chain observed; semantic type/layout not proven
game/laser.cpp,1730,LaserHitDataInf,0x004d40f4,0x004d3d70,0x004c7fd0,0x004c7fdb,0x0054275d,60,0x3c,0x004c8240,Exact immediate and call chain observed; semantic type/layout not proven
game/laser.cpp,551,LaserHitDataInf,0x004d461c,0x004d4150,0x004c7fd0,0x004c7fdb,0x0054275d,60,0x3c,0x004c8240,Exact immediate and call chain observed; semantic type/layout not proven
game/laser.cpp,296,LaserLineInf,0x004d484b,0x004d47f0,0x004c8190,0x004c819e,0x0054275d,6392,0x18f8,0x00544760,Exact immediate and call chain observed; semantic type/layout not proven
game/laser.cpp,306,LaserInfiniteInf,0x004d48ac,0x004d47f0,0x004c8130,0x004c813e,0x0054275d,4920,0x1338,0x00544760,Exact immediate and call chain observed; semantic type/layout not proven
game/laser.cpp,317,LaserBeamInf,0x004d490d,0x004d47f0,0x004c8020,0x004c802e,0x0054275d,7472,0x1d30,0x00544760,Exact immediate and call chain observed; semantic type/layout not proven
game/laser.cpp,328,LaserCurveInf,0x004d4968,0x004d47f0,0x004c8080,0x004c808e,0x0054275d,4976,0x1370,0x00544760,Exact immediate and call chain observed; semantic type/layout not proven
game/laser.h,468,CurveEquationInf,0x004d5ab6,0x004d5a90,0x004c7f90,0x004c7f9b,0x0054275d,60,0x3c,,Exact immediate and call chain observed; semantic type/layout not proven
game/laser.cpp,163,LaserInf,0x004d7e44,0x004d7e40,0x004c80e0,0x004c80eb,0x0054275d,88,0x58,0x004c87c0,Exact immediate and call chain observed; semantic type/layout not proven
game/loading.cpp,239,LoadingInf,0x004d85c4,0x004d85c0,0x004d7ea0,0x004d7eae,0x0054275d,1564,0x61c,0x004d7ef0,Exact immediate and call chain observed; semantic type/layout not proven
game/mother.cpp,501,BITMAPINFO,0x004d9220,0x004d9210,0x004d8740,0x004d874b,0x0054275d,44,0x2c,,Exact immediate and call chain observed; semantic type/layout not proven
game/mother.cpp,233,SprtInf,0x004dd6ab,0x004dd600,0x00447800,0x0044780e,0x0054275d,1508,0x5e4,0x00448b40,Exact immediate and call chain observed; semantic type/layout not proven
game/mother.cpp,234,SprtInf,0x004dd6c0,0x004dd600,0x00447800,0x0044780e,0x0054275d,1508,0x5e4,0x00448b40,Exact immediate and call chain observed; semantic type/layout not proven
game/mother.cpp,235,SprtInf,0x004dd6d5,0x004dd600,0x00447800,0x0044780e,0x0054275d,1508,0x5e4,0x00448b40,Exact immediate and call chain observed; semantic type/layout not proven
game/mother.cpp,236,SprtInf,0x004dd6ea,0x004dd600,0x00447800,0x0044780e,0x0054275d,1508,0x5e4,0x00448b40,Exact immediate and call chain observed; semantic type/layout not proven
game/mother.cpp,237,SprtInf,0x004dd6ff,0x004dd600,0x00447800,0x0044780e,0x0054275d,1508,0x5e4,0x00448b40,Exact immediate and call chain observed; semantic type/layout not proven
game/notice.cpp,154,NoticeInf,0x004dfb94,0x004dfb90,0x004dea10,0x004dea1e,0x0054275d,304,0x130,0x004dea60,Exact immediate and call chain observed; semantic type/layout not proven
game/option.cpp,60,OptionTaskInf,0x004e1084,0x004e1080,0x004dfc00,0x004dfc0e,0x0054275d,164,0xa4,0x004dfc50,Exact immediate and call chain observed; semantic type/layout not proven
game/pause.cpp,238,PauseInf,0x004e6b84,0x004e6b80,0x004e1ba0,0x004e1bcd,0x0054275d,728,0x2d8,0x004e1ce0,Exact immediate and call chain observed; semantic type/layout not proven
game/player.cpp,313,PlayerInf,0x004ffff4,0x004ffff0,0x004f32b0,0x004f32be,0x0054275d,84060,0x1485c,0x004f46a0,Exact immediate and call chain observed; semantic type/layout not proven
game/plyshot.cpp,184,ShotInf,0x0050627b,0x00506210,0x005041b0,0x005041be,0x0054275d,292,0x124,0x00544760,Exact immediate and call chain observed; semantic type/layout not proven
game/replay.cpp,48,ReplayFileHeaderInf,0x005084da,0x00508480,0x00507000,0x0050702a,0x0054275d,48,0x30,,Exact immediate and call chain observed; semantic type/layout not proven
game/replay.cpp,54,ReplayDataHeaderInf,0x00508517,0x00508480,0x00506f80,0x00506fad,0x0054275d,256,0x100,,Exact immediate and call chain observed; semantic type/layout not proven
game/replay.cpp,55,ReplayStageDataHeaderInf,0x0050852d,0x00508480,0x00507080,0x005070ad,0x0054275d,672,0x2a0,,Exact immediate and call chain observed; semantic type/layout not proven
game/replay.h,140,ReplayRecDataInf,0x0050a2e9,0x0050a2e0,0x00507190,0x005071bd,0x0054275d,252028,0x3d87c,0x00507720,Exact immediate and call chain observed; semantic type/layout not proven
game/replay.cpp,818,ReplayStageDataHeaderInf,0x0050a6c6,0x0050a6b0,0x00507080,0x005070ad,0x0054275d,672,0x2a0,,Exact immediate and call chain observed; semantic type/layout not proven
game/replay.cpp,188,ReplayInf,0x0050a8e4,0x0050a8e0,0x00507100,0x0050712d,0x0054275d,864,0x360,0x00507560,Exact immediate and call chain observed; semantic type/layout not proven
game/replay.cpp,169,ReplayInf,0x0050a934,0x0050a930,0x00507100,0x0050712d,0x0054275d,864,0x360,0x00507560,Exact immediate and call chain observed; semantic type/layout not proven
game/score.cpp,118,ScoreInf,0x0050fce3,0x0050fce0,0x0050adc0,0x0050aded,0x0054275d,1196760,0x1242d8,0x0050e5d0,Exact immediate and call chain observed; semantic type/layout not proven
game/smallscore.cpp,57,SmallScoreInf,0x005108d4,0x005108d0,0x0050fd00,0x0050fd0e,0x0054275d,3992,0xf98,0x0050fdd0,Exact immediate and call chain observed; semantic type/layout not proven
game/stageclear.cpp,89,StageClearInf,0x005115db,0x005115c0,0x00510930,0x0051093e,0x0054275d,152,0x98,0x00510980,Exact immediate and call chain observed; semantic type/layout not proven
game/stoneenemy.cpp,76,StoneEnemyInf,0x00512f69,0x00512f60,0x00511870,0x0051189a,0x0054275d,52,0x34,0x005119e0,Exact immediate and call chain observed; semantic type/layout not proven
game/stoneenemy.cpp,67,StoneEnemyCtrlInf,0x00514243,0x00514240,0x005117e0,0x0051180d,0x0054275d,180,0xb4,0x00511980,Exact immediate and call chain observed; semantic type/layout not proven
game/stonemenu.cpp,302,StoneMenuInf,0x0051cc24,0x0051cc20,0x00515250,0x0051527d,0x0054275d,135428,0x21104,0x00515b90,Exact immediate and call chain observed; semantic type/layout not proven
game/title.cpp,5302,RenderMeshInf,0x0052c0ae,0x0052c030,0x004712d0,0x004712fa,0x0054275d,36,0x24,0x0040b280,Exact immediate and call chain observed; semantic type/layout not proven
game/title.cpp,219,TitleInf,0x0052cff0,0x0052cfe0,0x0051d900,0x0051d92d,0x0054275d,22904,0x5978,0x0051db00,Exact immediate and call chain observed; semantic type/layout not proven
game/trophy.cpp,181,TrophyInf,0x0052f94d,0x0052f900,0x0052d690,0x0052d69b,0x0054275d,84,0x54,0x0052da70,Exact immediate and call chain observed; semantic type/layout not proven
game/weaponblue.cpp,39,StoneBlueReimuInf,0x005305f3,0x005305f0,0x0052fa40,0x0052fa6a,0x0054275d,56,0x38,,Exact immediate and call chain observed; semantic type/layout not proven
game/weaponblue2.cpp,51,StoneBlueReimu2Inf,0x00530ae3,0x00530ae0,0x00530610,0x0053063a,0x0054275d,64,0x40,,Exact immediate and call chain observed; semantic type/layout not proven
game/weaponblue2_m.cpp,52,StoneBlueMarisa2Inf,0x00530c93,0x00530c90,0x00530b00,0x00530b2a,0x0054275d,64,0x40,,Exact immediate and call chain observed; semantic type/layout not proven
game/weaponblue_m.cpp,39,StoneBlueMarisaInf,0x00531033,0x00531030,0x00530cb0,0x00530cda,0x0054275d,56,0x38,,Exact immediate and call chain observed; semantic type/layout not proven
game/weapongreen.cpp,59,StoneGreenReimuInf,0x00531583,0x00531580,0x00531070,0x0053109a,0x0054275d,92,0x5c,,Exact immediate and call chain observed; semantic type/layout not proven
game/weapongreen2.cpp,73,StoneGreenReimu2Inf,0x00531bf3,0x00531bf0,0x005315c0,0x005315ed,0x0054275d,152,0x98,,Exact immediate and call chain observed; semantic type/layout not proven
game/weapongreen2_m.cpp,72,StoneGreenMarisa2Inf,0x005321c3,0x005321c0,0x00531c30,0x00531c5d,0x0054275d,152,0x98,,Exact immediate and call chain observed; semantic type/layout not proven
game/weapongreen_m.cpp,59,StoneGreenMarisaInf,0x00532313,0x00532310,0x005321e0,0x0053220a,0x0054275d,92,0x5c,,Exact immediate and call chain observed; semantic type/layout not proven
game/weaponred.cpp,42,StoneRedReimuInf,0x00532463,0x00532460,0x00532330,0x0053235a,0x0054275d,56,0x38,,Exact immediate and call chain observed; semantic type/layout not proven
game/weaponred2.cpp,35,StoneRedReimu2Inf,0x00532563,0x00532560,0x00532480,0x005324aa,0x0054275d,56,0x38,,Exact immediate and call chain observed; semantic type/layout not proven
game/weaponred2_m.cpp,36,StoneRedMarisa2Inf,0x00532633,0x00532630,0x00532580,0x005325aa,0x0054275d,56,0x38,,Exact immediate and call chain observed; semantic type/layout not proven
game/weaponred_m.cpp,37,StoneRedMarisaInf,0x00532703,0x00532700,0x00532650,0x0053267a,0x0054275d,56,0x38,,Exact immediate and call chain observed; semantic type/layout not proven
game/weaponstone.cpp,482,RenderMeshInf,0x0053490c,0x005348d0,0x004712d0,0x004712fa,0x0054275d,36,0x24,0x0040b280,Exact immediate and call chain observed; semantic type/layout not proven
game/weaponstone.cpp,652,RenderMeshInf,0x00534b48,0x00534ab0,0x004712d0,0x004712fa,0x0054275d,36,0x24,0x0040b280,Exact immediate and call chain observed; semantic type/layout not proven
game/weaponstone.cpp,256,WeaponStoneInf,0x00534dd4,0x00534dd0,0x005327b0,0x005327dd,0x0054275d,132,0x84,0x00532880,Exact immediate and call chain observed; semantic type/layout not proven
game/weaponyellow.cpp,71,StoneYellowReimuInf,0x005357f3,0x005357f0,0x00534e50,0x00534e7a,0x0054275d,72,0x48,,Exact immediate and call chain observed; semantic type/layout not proven
game/weaponyellow2.cpp,81,StoneYellowReimu2Inf,0x00536d53,0x00536d50,0x00535b40,0x00535b6a,0x0054275d,92,0x5c,,Exact immediate and call chain observed; semantic type/layout not proven
game/weaponyellow2_m.cpp,81,StoneYellowMarisa2Inf,0x005381b3,0x005381b0,0x005370a0,0x005370ca,0x0054275d,92,0x5c,,Exact immediate and call chain observed; semantic type/layout not proven
game/weaponyellow_m.cpp,72,StoneYellowMarisaInf,0x005389b3,0x005389b0,0x005381d0,0x005381fa,0x0054275d,72,0x48,,Exact immediate and call chain observed; semantic type/layout not proven
pack/_ArcMngr.cpp,78,File,0x0053a74b,0x0053a6f0,0x00539c80,0x00539c8b,0x0054275d,12,0xc,0x00539000,Exact immediate and call chain observed; semantic type/layout not proven
script/sptcmd.cpp,1013,SptBaseInf,0x0053e399,0x0053e390,0x0053b3d0,0x0053b3db,0x0054275d,72,0x48,,Exact immediate and call chain observed; semantic type/layout not proven
script/sptcmd.cpp,1014,LinkInf<SptBaseInf*>,0x0053e3ac,0x0053e390,0x0053b410,0x0053b41b,0x0054275d,20,0x14,0x00418a10,Exact immediate and call chain observed; semantic type/layout not proven
